Timestamp WorkflowId PeakValueRss1 PeakValueRss2 PeakValueRss3 PeakValueRss4 PeakValueVsize1 PeakValueVsize2 PeakValueVsize3 PeakValueVsize4 TotalJobCPU1 TotalJobCPU2 TotalJobCPU3 TotalJobCPU4 TotalJobTime1 TotalJobTime2 TotalJobTime3 TotalJobTime4
1520373600.0 134.807 NA 99 NA NA NA 188 NA NA NA 2961 NA NA NA 3507 NA NA
1520373600.0 134.808 NA 98 NA NA NA 187 NA NA NA 3098 NA NA NA 4470 NA NA
1520373600.0 134.809 NA 30 NA NA NA 105 NA NA NA 635 NA NA NA 750 NA NA
1520373600.0 134.81 NA 30 NA NA NA 104 NA NA NA 633 NA NA NA 773 NA NA
1520373600.0 134.811 NA 31 NA NA NA 105 NA NA NA 642 NA NA NA 808 NA NA
1520373600.0 134.812 NA 42 NA NA NA 102 NA NA NA 561 NA NA NA 675 NA NA
1520373600.0 134.813 NA 135 69 0 NA 211 93 0 NA 2050 468 601 NA 2619 1087 692
1520373600.0 134.901 NA 44 NA NA NA 104 NA NA NA 566 NA NA NA 675 NA NA
1520373600.0 134.902 NA 34 NA NA NA 106 NA NA NA 609 NA NA NA 702 NA NA
1520373600.0 134.903 NA 32 NA NA NA 107 NA NA NA 604 NA NA NA 750 NA NA
1520373600.0 134.904 NA 33 NA NA NA 108 NA NA NA 633 NA NA NA 735 NA NA
1520373600.0 134.905 NA 38 NA NA NA 106 NA NA NA 594 NA NA NA 685 NA NA
1520373600.0 134.906 NA 30 NA NA NA 106 NA NA NA 623 NA NA NA 773 NA NA
1520373600.0 134.907 NA 98 NA NA NA 186 NA NA NA 2396 NA NA NA 3749 NA NA
1520373600.0 134.908 NA 99 NA NA NA 189 NA NA NA 2471 NA NA NA 3515 NA NA
1520373600.0 134.909 NA 31 NA NA NA 106 NA NA NA 613 NA NA NA 753 NA NA
1520373600.0 134.91 NA 44 NA NA NA 106 NA NA NA 605 NA NA NA 691 NA NA
1520373600.0 134.911 NA 31 NA NA NA 106 NA NA NA 619 NA NA NA 733 NA NA
1520373600.0 134.912 NA 45 NA NA NA 106 NA NA NA 587 NA NA NA 674 NA NA
1520373600.0 134.99601 NA 32 NA NA NA 107 NA NA NA 669 NA NA NA 779 NA NA
1520373600.0 134.99602 NA 37 NA NA NA 106 NA NA NA 608 NA NA NA 705 NA NA
1520373600.0 134.99603 NA 33 NA NA NA 107 NA NA NA 648 NA NA NA 755 NA NA
1520373600.0 134.99901 NA 40 NA NA NA 106 NA NA NA 580 NA NA NA 690 NA NA
1520373600.0 1340.0 NA 87 NA NA NA 164 NA NA NA 881 NA NA NA 1109 NA NA
1520373600.0 1341.0 NA 90 NA NA NA 167 NA NA NA 1085 NA NA NA 1308 NA NA
1520373600.0 1343.0 NA 89 NA NA NA 164 NA NA NA 985 NA NA NA 1192 NA NA
